Price,Open,High,Low,Vol.,Change %
126.52,126.18,126.99,125.08,163.02M,1.36%
124.82,124.7,125.18,123.05,211.50M,-0.82%
125.86,128.7,128.79,123.94,345.94M,1.20%
124.37,119.26,124.87,119.25,338.06M,5.15%
118.28,115.75,118.39,115.73,126.91M,2.22%
115.71,115.98,117.16,115.61,145.54M,0.13%
115.56,114.35,116,114.01,105.63M,0.83%
114.61,116.06,116.09,113.96,119.56M,-0.26%
114.91,114.83,115,113.04,165.56M,-0.09%
115.01,114.43,116.04,113.93,210.08M,1.77%
113.01,110.5,113.28,110.3,165.94M,3.32%
109.38,111.97,112.48,109.11,187.90M,-2.97%
112.73,112.6,113.78,110,212.40M,1.45%
111.11,113.21,113.68,110.29,198.05M,-2.45%
113.9,110.4,114.41,109.8,202.43M,3.49%
110.06,109.38,110.39,108.9,121.99M,0.36%
109.67,109.13,110.79,108.39,172.79M,0.67%
108.94,108.2,111.64,107.89,308.15M,2.52%
106.26,102.88,106.42,100.82,374.30M,10.47%
96.19,94.19,96.3,93.77,158.13M,1.21%
95.04,93.75,95.23,93.71,90.33M,1.92%
93.25,94.37,94.55,93.25,103.63M,-1.64%
94.81,93.71,94.9,93.48,121.21M,2.37%
92.61,90.99,92.97,89.14,185.44M,-0.25%
92.85,97,97.08,92.01,197.00M,-4.55%
97.27,96.69,97.97,96.6,89.00M,0.28%
97,99.17,99.25,96.74,103.65M,-1.38%
98.36,96.42,98.5,96.06,90.32M,2.11%
96.33,96.99,97.15,95.84,92.19M,-0.20%
96.52,96.56,97.4,95.9,110.58M,-1.23%
97.72,98.99,99.25,96.49,153.20M,0.69%
97.06,94.84,97.25,93.88,170.99M,1.65%
95.48,97.26,99.96,95.26,191.65M,-0.46%
95.92,95.33,95.98,94.71,90.26M,0.25%
95.68,96.26,96.32,94.67,125.64M,0.36%
95.34,94.18,95.38,94.09,117.09M,2.33%
93.17,93.85,94.65,93.06,112.42M,-0.31%
93.46,92.5,93.94,92.47,118.66M,2.68%
91.03,91.96,92.62,90.91,114.04M,0.00%
91.03,91.28,91.84,90.98,110.74M,-0.19%
91.2,90.02,91.5,90,140.22M,0.83%
90.44,88.31,90.54,87.82,130.65M,2.30%
88.41,91.1,91.33,88.25,205.26M,-3.07%
91.21,90.18,91.25,89.39,137.52M,1.33%
90.01,91.25,92.2,89.63,192.62M,-1.77%
91.63,91,93.1,90.57,212.16M,2.13%
89.72,87.83,89.86,87.79,135.44M,2.62%
87.43,88.66,89.14,86.29,264.48M,-0.57%
87.93,87.85,88.36,87.31,96.82M,0.04%
87.9,88.79,88.85,87.77,114.41M,-0.14%
88.02,87.86,88.3,86.18,165.43M,2.65%
85.75,83.31,86.42,83.14,138.81M,1.24%
84.7,86.18,86.95,83.56,200.15M,0.86%
83.97,87.33,87.76,83.87,201.66M,-4.80%
88.21,86.97,88.69,86.52,166.65M,2.57%
86,83.04,86.4,83,147.71M,3.16%
83.36,82.56,83.4,81.83,95.66M,0.59%
82.88,80.84,82.94,80.81,137.25M,2.85%
80.58,81.1,81.4,80.19,87.56M,-0.86%
81.28,81.17,81.55,80.57,104.49M,0.55%
80.83,80.19,80.86,79.73,87.64M,0.46%
80.46,79.44,80.59,79.3,81.02M,1.23%
79.49,79.81,80.29,79.12,153.60M,-0.10%
79.56,79.19,80.86,78.91,133.80M,0.04%
79.53,79.04,79.68,78.27,112.95M,0.44%
79.18,80.88,81.06,79.13,125.52M,-0.68%
79.72,78.94,79.81,78.84,81.80M,0.64%
79.21,79.67,80.22,78.97,102.69M,-0.75%
79.81,79.17,79.88,79.05,111.51M,1.94%
78.29,78.76,79.63,78.25,101.73M,-0.58%
78.74,78.29,79.13,77.58,135.37M,2.36%
76.93,75.09,76.97,75.05,166.35M,-0.59%
77.39,76.13,77.45,75.38,158.93M,0.61%
76.91,78.04,78.99,75.8,200.62M,-1.21%
77.85,79.46,79.92,77.73,162.30M,-1.14%
78.75,77.03,79.26,76.81,145.95M,1.57%
77.53,76.41,77.59,76.07,134.05M,2.10%
75.93,75.81,76.29,75.49,115.22M,1.03%
75.16,75.11,75.81,74.72,142.33M,1.03%
74.39,73.76,75.25,73.61,147.75M,1.50%
73.29,72.29,73.42,71.58,133.57M,1.41%
72.27,71.56,74.75,71.46,240.62M,-1.61%
73.45,72.49,73.63,72.09,183.06M,2.11%
71.93,71.18,72.42,70.97,137.28M,3.28%
69.64,71.27,71.46,69.55,112.01M,-1.62%
70.79,70.45,71.14,69.99,117.09M,0.07%
70.74,69.3,70.75,69.25,126.51M,2.89%
68.76,68.97,70.44,68.72,124.81M,-0.39%
69.03,68.4,69.47,68.05,117.06M,2.88%
67.09,69.07,69.31,66.36,180.99M,-3.09%
