"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2020","115.08","114.62","115.55","114.13","96.85M","1.70%"
"Oct 06, 2020","113.16","115.70","116.12","112.25","161.50M","-2.87%"
"Oct 05, 2020","116.50","113.91","116.65","113.55","106.24M","3.08%"
"Oct 02, 2020","113.02","112.89","115.37","112.22","144.71M","-3.23%"
"Oct 01, 2020","116.79","117.64","117.72","115.83","116.12M","0.85%"
"Sep 30, 2020","115.81","113.79","117.26","113.62","142.68M","1.51%"
"Sep 29, 2020","114.09","114.55","115.31","113.57","100.06M","-0.76%"
"Sep 28, 2020","114.96","115.01","115.32","112.78","137.67M","2.39%"
"Sep 25, 2020","112.28","108.43","112.44","107.67","149.98M","3.75%"
"Sep 24, 2020","108.22","105.17","110.25","105.00","167.74M","1.03%"
"Sep 23, 2020","107.12","111.62","112.11","106.77","150.72M","-4.19%"
"Sep 22, 2020","111.81","112.68","112.86","109.16","183.06M","1.57%"
"Sep 21, 2020","110.08","104.54","110.19","103.10","195.71M","3.03%"
"Sep 18, 2020","106.84","110.40","110.88","106.09","287.10M","-3.17%"
"Sep 17, 2020","110.34","109.72","112.20","108.71","178.01M","-1.60%"
"Sep 16, 2020","112.13","115.23","116.00","112.04","155.03M","-2.95%"
"Sep 15, 2020","115.54","118.33","118.83","113.61","184.64M","0.16%"
"Sep 14, 2020","115.36","114.72","115.93","112.80","140.15M","3.00%"
"Sep 11, 2020","112.00","114.57","115.23","110.00","180.86M","-1.31%"
"Sep 10, 2020","113.49","120.36","120.50","112.50","182.27M","-3.26%"
"Sep 09, 2020","117.32","117.26","119.14","115.26","176.94M","3.99%"
"Sep 08, 2020","112.82","113.95","118.99","112.68","231.37M","-6.73%"
"Sep 04, 2020","120.96","120.07","123.70","110.89","332.61M","0.07%"
"Sep 03, 2020","120.88","126.91","128.84","120.50","257.60M","-8.01%"
"Sep 02, 2020","131.40","137.59","137.98","127.00","200.12M","-2.07%"
"Sep 01, 2020","134.18","132.76","134.80","130.53","152.47M","3.98%"
"Aug 31, 2020","129.04","127.58","131.00","126.00","225.70M","3.39%"
"Aug 28, 2020","124.81","126.01","126.44","124.58","187.63M","-0.16%"
"Aug 27, 2020","125.01","127.14","127.49","123.83","155.55M","-1.20%"
"Aug 26, 2020","126.52","126.18","126.99","125.08","163.02M","1.36%"
"Aug 25, 2020","124.82","124.70","125.18","123.05","211.50M","-0.82%"
"Aug 24, 2020","125.86","128.70","128.79","123.94","345.94M","1.20%"
"Aug 21, 2020","124.37","119.26","124.87","119.25","338.06M","5.15%"
"Aug 20, 2020","118.28","115.75","118.39","115.73","126.91M","2.22%"
"Aug 19, 2020","115.71","115.98","117.16","115.61","145.54M","0.13%"
"Aug 18, 2020","115.56","114.35","116.00","114.01","105.63M","0.83%"
"Aug 17, 2020","114.61","116.06","116.09","113.96","119.56M","-0.26%"
"Aug 14, 2020","114.91","114.83","115.00","113.04","165.56M","-0.09%"
"Aug 13, 2020","115.01","114.43","116.04","113.93","210.08M","1.77%"
"Aug 12, 2020","113.01","110.50","113.28","110.30","165.94M","3.32%"
"Aug 11, 2020","109.38","111.97","112.48","109.11","187.90M","-2.97%"
"Aug 10, 2020","112.73","112.60","113.78","110.00","212.40M","1.45%"
"Aug 07, 2020","111.11","113.21","113.68","110.29","198.05M","-2.45%"
"Aug 06, 2020","113.90","110.40","114.41","109.80","202.43M","3.49%"
"Aug 05, 2020","110.06","109.38","110.39","108.90","121.99M","0.36%"
"Aug 04, 2020","109.67","109.13","110.79","108.39","172.79M","0.67%"
"Aug 03, 2020","108.94","108.20","111.64","107.89","308.15M","2.52%"
"Jul 31, 2020","106.26","102.88","106.42","100.82","374.30M","10.47%"
"Jul 30, 2020","96.19","94.19","96.30","93.77","158.13M","1.21%"
"Jul 29, 2020","95.04","93.75","95.23","93.71","90.33M","1.92%"
"Jul 28, 2020","93.25","94.37","94.55","93.25","103.63M","-1.64%"
"Jul 27, 2020","94.81","93.71","94.90","93.48","121.21M","2.37%"
"Jul 24, 2020","92.61","90.99","92.97","89.14","185.44M","-0.25%"
"Jul 23, 2020","92.85","97.00","97.08","92.01","197.00M","-4.55%"
"Jul 22, 2020","97.27","96.69","97.97","96.60","89.00M","0.28%"
"Jul 21, 2020","97.00","99.17","99.25","96.74","103.65M","-1.38%"
"Jul 20, 2020","98.36","96.42","98.50","96.06","90.32M","2.11%"
"Jul 17, 2020","96.33","96.99","97.15","95.84","92.19M","-0.20%"
"Jul 16, 2020","96.52","96.56","97.40","95.90","110.58M","-1.23%"
"Jul 15, 2020","97.72","98.99","99.25","96.49","153.20M","0.69%"
"Jul 14, 2020","97.06","94.84","97.25","93.88","170.99M","1.65%"
"Jul 13, 2020","95.48","97.26","99.96","95.26","191.65M","-0.46%"
"Jul 10, 2020","95.92","95.33","95.98","94.71","90.26M","0.25%"
"Jul 09, 2020","95.68","96.26","96.32","94.67","125.64M","0.36%"
"Jul 08, 2020","95.34","94.18","95.38","94.09","117.09M","2.33%"
"Jul 07, 2020","93.17","93.85","94.65","93.06","112.42M","-0.31%"
"Jul 06, 2020","93.46","92.50","93.94","92.47","118.66M","2.68%"
"Jul 02, 2020","91.03","91.96","92.62","90.91","114.04M","0.00%"
"Jul 01, 2020","91.03","91.28","91.84","90.98","110.74M","-0.19%"
"Jun 30, 2020","91.20","90.02","91.50","90.00","140.22M","0.83%"
"Jun 29, 2020","90.44","88.31","90.54","87.82","130.65M","2.30%"
"Jun 26, 2020","88.41","91.10","91.33","88.25","205.26M","-3.07%"
"Jun 25, 2020","91.21","90.18","91.25","89.39","137.52M","1.33%"
"Jun 24, 2020","90.01","91.25","92.20","89.63","192.62M","-1.77%"
"Jun 23, 2020","91.63","91.00","93.10","90.57","212.16M","2.13%"
"Jun 22, 2020","89.72","87.83","89.86","87.79","135.44M","2.62%"
"Jun 19, 2020","87.43","88.66","89.14","86.29","264.48M","-0.57%"
"Jun 18, 2020","87.93","87.85","88.36","87.31","96.82M","0.04%"
"Jun 17, 2020","87.90","88.79","88.85","87.77","114.41M","-0.14%"
"Jun 16, 2020","88.02","87.86","88.30","86.18","165.43M","2.65%"
"Jun 15, 2020","85.75","83.31","86.42","83.14","138.81M","1.24%"
"Jun 12, 2020","84.70","86.18","86.95","83.56","200.15M","0.86%"
"Jun 11, 2020","83.97","87.33","87.76","83.87","201.66M","-4.80%"
"Jun 10, 2020","88.21","86.97","88.69","86.52","166.65M","2.57%"
"Jun 09, 2020","86.00","83.04","86.40","83.00","147.71M","3.16%"
"Jun 08, 2020","83.36","82.56","83.40","81.83","95.66M","0.59%"
"Jun 05, 2020","82.88","80.84","82.94","80.81","137.25M","2.85%"
"Jun 04, 2020","80.58","81.10","81.40","80.19","87.56M","-0.86%"
"Jun 03, 2020","81.28","81.17","81.55","80.57","104.49M","0.55%"
"Jun 02, 2020","80.83","80.19","80.86","79.73","87.64M","0.46%"
"Jun 01, 2020","80.46","79.44","80.59","79.30","81.02M","1.23%"
"May 29, 2020","79.49","79.81","80.29","79.12","153.60M","-0.10%"
"May 28, 2020","79.56","79.19","80.86","78.91","133.80M","0.04%"
"May 27, 2020","79.53","79.04","79.68","78.27","112.95M","0.44%"
"May 26, 2020","79.18","80.88","81.06","79.13","125.52M","-0.68%"
"May 22, 2020","79.72","78.94","79.81","78.84","81.80M","0.64%"
"May 21, 2020","79.21","79.67","80.22","78.97","102.69M","-0.75%"
"May 20, 2020","79.81","79.17","79.88","79.05","111.51M","1.94%"
"May 19, 2020","78.29","78.76","79.63","78.25","101.73M","-0.58%"
"May 18, 2020","78.74","78.29","79.13","77.58","135.37M","2.36%"
"May 15, 2020","76.93","75.09","76.97","75.05","166.35M","-0.59%"
"May 14, 2020","77.39","76.13","77.45","75.38","158.93M","0.61%"
"May 13, 2020","76.91","78.04","78.99","75.80","200.62M","-1.21%"
"May 12, 2020","77.85","79.46","79.92","77.73","162.30M","-1.14%"
"May 11, 2020","78.75","77.03","79.26","76.81","145.95M","1.57%"
"May 08, 2020","77.53","76.41","77.59","76.07","134.05M","2.10%"
"May 07, 2020","75.93","75.81","76.29","75.49","115.22M","1.03%"
"May 06, 2020","75.16","75.11","75.81","74.72","142.33M","1.03%"
"May 05, 2020","74.39","73.76","75.25","73.61","147.75M","1.50%"
"May 04, 2020","73.29","72.29","73.42","71.58","133.57M","1.41%"
"May 01, 2020","72.27","71.56","74.75","71.46","240.62M","-1.61%"
"Apr 30, 2020","73.45","72.49","73.63","72.09","183.06M","2.11%"
"Apr 29, 2020","71.93","71.18","72.42","70.97","137.28M","3.28%"
"Apr 28, 2020","69.64","71.27","71.46","69.55","112.01M","-1.62%"
"Apr 27, 2020","70.79","70.45","71.14","69.99","117.09M","0.07%"
"Apr 24, 2020","70.74","69.30","70.75","69.25","126.51M","2.89%"
"Apr 23, 2020","68.76","68.97","70.44","68.72","124.81M","-0.39%"
"Apr 22, 2020","69.03","68.40","69.47","68.05","117.06M","2.88%"
"Apr 21, 2020","67.09","69.07","69.31","66.36","180.99M","-3.09%"
"Apr 20, 2020","69.23","69.49","70.42","69.21","130.02M","-2.08%"
"Apr 17, 2020","70.70","71.17","71.74","69.21","215.25M","-1.36%"
"Apr 16, 2020","71.67","71.85","72.05","70.59","157.12M","0.79%"
"Apr 15, 2020","71.11","70.60","71.58","70.16","131.16M","-0.91%"
"Apr 14, 2020","71.76","70.00","72.06","69.51","195.00M","5.05%"
"Apr 13, 2020","68.31","67.08","68.43","66.46","131.02M","1.96%"
"Apr 09, 2020","67.00","67.18","67.52","66.18","162.12M","0.72%"
"Apr 08, 2020","66.52","65.68","66.84","65.31","168.90M","2.56%"
"Apr 07, 2020","64.86","67.70","67.93","64.75","202.89M","-1.16%"
"Apr 06, 2020","65.62","62.72","65.78","62.35","201.82M","8.72%"
"Apr 03, 2020","60.35","60.70","61.42","59.74","129.88M","-1.44%"
"Apr 02, 2020","61.23","60.08","61.29","59.22","165.93M","1.67%"
"Apr 01, 2020","60.23","61.63","62.18","59.78","176.22M","-5.26%"
"Mar 31, 2020","63.57","63.90","65.62","63.00","197.00M","-0.20%"
"Mar 30, 2020","63.70","62.69","63.88","62.35","167.98M","2.85%"
"Mar 27, 2020","61.94","63.19","63.97","61.76","204.22M","-4.14%"
"Mar 26, 2020","64.61","61.63","64.67","61.59","252.56M","5.26%"
"Mar 25, 2020","61.38","62.69","64.56","61.08","303.60M","-0.55%"
"Mar 24, 2020","61.72","59.09","61.92","58.58","287.53M","10.03%"
"Mar 23, 2020","56.09","57.02","57.12","53.15","336.75M","-2.12%"
"Mar 20, 2020","57.31","61.79","62.96","57.00","401.69M","-6.35%"
"Mar 19, 2020","61.19","61.85","63.21","60.65","271.86M","-0.77%"
"Mar 18, 2020","61.67","59.94","62.50","59.28","300.23M","-2.45%"
"Mar 17, 2020","63.22","61.88","64.40","59.60","324.06M","4.40%"
"Mar 16, 2020","60.55","60.49","64.77","60.00","322.42M","-12.86%"
"Mar 13, 2020","69.49","66.22","69.98","63.24","370.73M","11.98%"
"Mar 12, 2020","62.06","63.99","67.50","62.00","418.47M","-9.88%"
"Mar 11, 2020","68.86","69.35","70.31","67.96","256.38M","-3.47%"
"Mar 10, 2020","71.33","69.29","71.61","67.34","285.29M","7.20%"
"Mar 09, 2020","66.54","65.94","69.52","65.75","286.74M","-7.91%"
"Mar 06, 2020","72.26","70.50","72.71","70.31","226.18M","-1.33%"
"Mar 05, 2020","73.23","73.88","74.89","72.85","187.57M","-3.24%"
"Mar 04, 2020","75.68","74.11","75.85","73.28","219.18M","4.64%"
"Mar 03, 2020","72.33","75.92","76.00","71.45","319.48M","-3.18%"
"Mar 02, 2020","74.70","70.57","75.36","69.43","341.40M","9.31%"
"Feb 28, 2020","68.34","64.32","69.60","64.09","426.88M","-0.06%"
"Feb 27, 2020","68.38","70.28","71.50","68.24","320.61M","-6.54%"
"Feb 26, 2020","73.16","71.63","74.47","71.63","198.71M","1.59%"
"Feb 25, 2020","72.02","75.24","75.63","71.53","230.67M","-3.39%"
"Feb 24, 2020","74.54","74.32","76.04","72.31","222.20M","-4.75%"
"Feb 21, 2020","78.26","79.65","80.11","77.63","129.71M","-2.26%"
"Feb 20, 2020","80.07","80.66","81.16","79.55","100.57M","-1.03%"
"Feb 19, 2020","80.90","80.00","81.14","80.00","93.98M","1.45%"
"Feb 18, 2020","79.75","78.84","79.94","78.65","152.76M","-1.83%"
"Feb 14, 2020","81.24","81.18","81.50","80.71","80.11M","0.02%"
"Feb 13, 2020","81.22","81.05","81.56","80.84","94.75M","-0.71%"
"Feb 12, 2020","81.80","80.37","81.81","80.37","113.73M","2.37%"
"Feb 11, 2020","79.90","80.90","80.97","79.68","94.32M","-0.60%"
"Feb 10, 2020","80.39","78.54","80.39","78.46","109.35M","0.47%"
"Feb 07, 2020","80.01","80.59","80.85","79.50","117.68M","-1.59%"
"Feb 06, 2020","81.30","80.64","81.31","80.07","105.43M","1.17%"
"Feb 05, 2020","80.36","80.88","81.19","79.74","118.83M","0.82%"
"Feb 04, 2020","79.71","78.83","79.91","78.41","136.62M","3.30%"
"Feb 03, 2020","77.17","76.07","78.37","75.56","173.99M","-0.27%"
"Jan 31, 2020","77.38","80.23","80.67","77.07","199.59M","-4.43%"
"Jan 30, 2020","80.97","80.14","81.02","79.69","126.74M","-0.14%"
"Jan 29, 2020","81.08","81.11","81.96","80.35","216.60M","2.09%"
"Jan 28, 2020","79.42","78.15","79.60","78.05","162.23M","2.83%"
"Jan 27, 2020","77.24","77.51","77.94","76.22","161.94M","-2.94%"
"Jan 24, 2020","79.58","80.06","80.83","79.38","146.54M","-0.29%"
"Jan 23, 2020","79.81","79.48","79.89","78.91","104.47M","0.48%"
"Jan 22, 2020","79.43","79.64","80.00","79.33","101.83M","0.36%"
"Jan 21, 2020","79.14","79.30","79.75","79.00","110.84M","-0.68%"
